feature,slope,r_squared,p_value,pct_change,first_year_mean,last_year_mean,significant
road_OTLosses,-4.582387644847908e-05,0.004915072300505197,0.7336172404191751,207.5980392156863,0.00597609561752988,0.01838235294117647,False
punting_fairCatches,0.01204951125332433,0.4743640299786216,0.0001001172527953965,7.372727245092392,0.9621514081954956,1.033088207244873,True
scoring_fieldGoals,0.015898445851830468,0.839554811042088,5.0823849565354494e-11,26.96888226656302,1.3565737051792828,1.7224264705882353,True
punting_touchbacks,-0.007560452029236362,0.7691822501984837,4.155673299010228e-09,-37.39634454250336,0.45219123363494873,0.28308823704719543,True
punting_longPunt,0.38610931613420474,0.8949083041303115,3.078234489501747e-13,15.294242910111247,46.77290836653386,53.9264705882353,True
scoring_kickExtraPointsMade,0.01281440659618377,0.4465322964996042,0.00019084735336181963,19.13161844542377,1.8346613545816732,2.1856617647058822,True
returning_longKickReturn,-0.41237360509989324,0.687243332602404,1.674625104736892e-07,-15.952419534630243,28.382470119521912,23.854779411764707,True
passing_longPassing,0.20820155762146034,0.8188484427443716,2.205916446624752e-10,5.677069040195466,35.440239043824704,37.45220588235294,True
road_wins,0.0008445458622830909,0.20677055986845877,0.019601200608213187,16.03450786255097,0.20119521912350596,0.23345588235294118,True
home_OTLosses,-0.00019635213232709132,0.08769177696042528,0.14186549818816468,-30.790441176470583,0.01593625498007968,0.011029411764705883,False
returning_longPuntReturn,-0.12990408610789017,0.5654187054497147,9.460530529617087e-06,-16.05622470267282,13.143426294820717,11.033088235294118,True
passing_completions,0.23628994477100865,0.9004198803438785,1.608167850560289e-13,24.766570329666138,17.133466720581055,21.37683868408203,True
home_losses,0.0008445458622830909,0.20677055986845877,0.019601200608213187,16.03450786255097,0.20119521912350596,0.23345588235294118,True
road_losses,-0.0009216840586443975,0.24917126556520605,0.0094300346825439,-10.796568627450984,0.29880478087649404,0.2665441176470588,True
scoring_twoPointPassConvs,0.0018617100719839031,0.47265239140994636,0.0001042627114030789,100.84342560553632,0.03386454183266932,0.06801470588235294,True
kicking_fieldGoalAttempts50,0.0123219373152815,0.8609766746355223,8.999292736376019e-12,238.7625773993808,0.15139442231075698,0.5128676470588235,True
punting_puntYards,-0.06282260992588143,0.0027051628664983528,0.8007833386167607,-10.507825762033463,198.71315002441406,177.8327178955078,False
total_losses,-7.713819636130512e-05,0.19312472829273497,0.024685266109592072,0.0,0.5,0.5,True
returning_kickReturnTouchdowns,-0.0007914840652901902,0.36045205164768823,0.0011840799426737379,-56.936269998550415,0.029880478978157043,0.012867647223174572,True
defensive_safeties,7.876168681770307e-05,0.004811481807749282,0.7363403517027041,-37.08222210407257,0.043824702501297,0.02757352963089943,False
passing_twoPtPass,0.0018617100719839031,0.47265239140994636,0.0001042627114030789,100.84342560553632,0.03386454183266932,0.06801470588235294,True
passing_sacks,0.014660900433858235,0.34193262477505915,0.0017047715466546546,6.177889555692673,2.274900436401367,2.4154412746429443,True
scoring_receivingTouchdowns,0.01757493076161442,0.6998263014919498,1.0147912867853962e-07,26.747095584869385,1.1733068227767944,1.4871323108673096,True
